RefundID,RefundQuantity,Reason,Status,RefundDate,TransactionRef
RE7103,7,Item didn't meet expectations,Cancelled,29/7/2020,
RE7104,6,Received damaged item,Completed,2/2/2022,TR1101
RE7105,1,Item didn't match online photos,Cancelled,7/11/2023,
RE7106,5,Item didn't meet expectations,Rejected,3/1/2021,
RE7107,2,Item arrived late,Cancelled,7/4/2020,
RE7108,2,Item didn't meet expectations,Cancelled,1/9/2023,
RE7109,1,Item didn't meet expectations,Waiting for Approval,26/10/2022,
RE7110,6,Received damaged item,Cancelled,19/7/2020,
RE7111,1,Item arrived late,Pending,2/12/2023,TR2832
RE7112,1,Item didn't meet expectations,Waiting for Approval,6/10/2022,
RE7113,8,Changed mind about purchase,Waiting for Approval,15/5/2021,
RE7114,7,Item arrived late,Completed,13/9/2023,TR4210
RE7115,2,Item didn't match online photos,On Hold,7/3/2020,TR3916
RE7116,4,Item didn't match online photos,Rejected,18/11/2020,
RE7117,2,Item not as described,Waiting for Approval,1/2/2020,
RE7118,8,Received wrong size,Pending,7/3/2022,TR6022
RE7119,3,Item didn't meet expectations,On Hold,12/10/2019,TR2919
RE7120,6,Received damaged item,Pending,4/4/2020,TR3211
RE7121,3,Item didn't fit properly,Completed,2/1/2023,TR4863
RE7122,4,Item didn't meet expectations,Approved,24/5/2019,
RE7123,4,Changed mind about purchase,Approved,4/7/2023,
RE7124,5,Wrong color received,Waiting for Approval,11/1/2022,
RE7125,6,Item not as described,Waiting for Approval,24/11/2023,
RE7126,5,Received damaged item,Approved,19/5/2019,
RE7127,6,Changed mind about purchase,Cancelled,8/4/2023,
RE7128,1,Item didn't fit properly,Pending,14/7/2023,TR8555
RE7129,6,Poor quality material,Rejected,19/1/2020,
RE7130,6,Changed mind about purchase,Cancelled,31/3/2022,
RE7131,1,Item didn't meet expectations,Completed,16/5/2021,TR1822
RE7132,4,Poor quality material,Processing,23/9/2020,TR3401
RE7133,1,Item didn't meet expectations,Rejected,20/3/2020,
RE7134,2,Received wrong size,Cancelled,22/6/2023,
RE7135,3,Item didn't fit properly,Cancelled,15/6/2022,
RE7136,4,Poor quality material,Waiting for Approval,16/3/2020,
RE7137,5,Received wrong size,Rejected,1/12/2022,
RE7138,4,Received wrong size,Rejected,22/3/2022,
RE7139,2,Received damaged item,Cancelled,28/7/2019,
RE7140,2,Item didn't meet expectations,Completed,24/2/2022,TR5512
RE7141,1,Item not as described,Approved,7/10/2022,
RE7142,2,Poor quality material,On Hold,6/10/2022,TR7535
RE7143,7,Item didn't fit properly,Rejected,19/5/2019,
RE7144,2,Received damaged item,Completed,5/4/2022,TR6863
RE7145,4,Item didn't match online photos,On Hold,18/9/2022,TR8576
RE7146,4,Item didn't fit properly,Processing,3/3/2019,TR2344
RE7147,5,Received wrong size,On Hold,12/4/2023,TR6828
RE7148,2,Received wrong size,Approved,14/2/2022,
RE7149,2,Item didn't match online photos,Approved,6/7/2021,
RE7150,2,Item didn't match online photos,Rejected,27/8/2020,
RE7151,3,Received wrong size,Processing,15/11/2023,TR4264
RE7152,1,Item arrived late,Rejected,13/6/2022,
RE7153,1,Item didn't meet expectations,Completed,24/12/2021,TR7955
RE7154,3,Changed mind about purchase,Completed,15/11/2020,TR6386
RE7155,6,Poor quality material,On Hold,18/2/2022,TR1228
RE7156,1,Item didn't fit properly,Pending,5/7/2023,TR5158
RE7157,3,Item didn't fit properly,Completed,19/4/2022,TR3419
RE7158,1,Wrong color received,Processing,10/10/2023,TR2024
RE7159,2,Changed mind about purchase,Cancelled,16/6/2020,
RE7160,4,Item didn't match online photos,Waiting for Approval,22/9/2021,
RE7161,1,Poor quality material,Cancelled,25/4/2019,
RE7162,1,Received damaged item,Approved,18/11/2023,
RE7163,1,Item didn't meet expectations,Rejected,30/7/2022,
RE7164,1,Item didn't meet expectations,Waiting for Approval,15/2/2020,
RE7165,8,Received damaged item,Processing,3/3/2020,TR4127
RE7166,3,Changed mind about purchase,On Hold,18/9/2023,TR3637
RE7167,3,Wrong color received,Rejected,29/3/2019,
RE7168,1,Item arrived late,Rejected,16/8/2021,
RE7169,4,Item arrived late,Pending,10/10/2023,TR6113
RE7170,1,Poor quality material,Waiting for Approval,3/1/2020,
RE7171,1,Wrong color received,Completed,5/9/2022,TR3019
RE7172,8,Item arrived late,Completed,12/1/2021,TR5886
RE7173,1,Poor quality material,Cancelled,23/4/2021,
RE7174,4,Item not as described,Processing,10/9/2021,TR1935
RE7175,1,Item arrived late,Waiting for Approval,7/11/2020,
RE7176,1,Poor quality material,On Hold,7/9/2022,TR1206
RE7177,5,Poor quality material,Approved,26/1/2023,
RE7178,1,Wrong color received,On Hold,13/12/2022,TR6798
RE7179,7,Item didn't meet expectations,Approved,20/11/2023,
RE7180,7,Item didn't fit properly,Completed,9/8/2023,TR9035
RE7181,2,Received wrong size,On Hold,25/4/2023,TR1202
RE7182,2,Changed mind about purchase,Approved,8/11/2021,
RE7183,8,Item not as described,Approved,10/9/2021,
RE7184,1,Item not as described,Approved,9/5/2023,
RE7185,5,Received damaged item,Approved,11/8/2019,
RE7186,3,Item not as described,Approved,18/8/2021,
RE7187,3,Received wrong size,Pending,18/8/2021,TR2402
RE7188,2,Changed mind about purchase,Cancelled,15/10/2019,
RE7189,4,Received damaged item,On Hold,14/2/2020,TR5128
RE7190,1,Item didn't meet expectations,On Hold,13/8/2023,TR5111
RE7191,1,Received wrong size,Cancelled,13/12/2020,
RE7192,2,Received wrong size,Pending,29/7/2019,TR2766
RE7193,5,Poor quality material,Cancelled,29/9/2019,
RE7194,4,Item didn't meet expectations,Pending,3/2/2020,TR8287
RE7195,1,Item didn't meet expectations,Pending,22/9/2022,TR4175
RE7196,6,Item not as described,Pending,14/1/2021,TR8193
RE7197,7,Received damaged item,Completed,20/8/2019,TR8930
RE7198,2,Item didn't meet expectations,Rejected,25/11/2020,
RE7199,4,Item didn't fit properly,Cancelled,1/5/2021,
RE7200,5,Item arrived late,On Hold,17/10/2023,TR4021
RE7201,4,Item didn't meet expectations,Completed,17/10/2020,TR8557
RE7202,1,Received wrong size,Cancelled,24/7/2020,
RE7203,1,Item didn't meet expectations,Pending,16/11/2020,TR2844
RE7204,7,Received wrong size,Processing,3/9/2021,TR6243
RE7205,4,Received damaged item,Completed,21/2/2019,TR8682
RE7206,2,Received wrong size,Processing,23/5/2021,TR8003
RE7207,6,Poor quality material,Rejected,12/6/2023,
RE7208,2,Received damaged item,Approved,13/12/2021,
RE7209,8,Changed mind about purchase,Pending,22/3/2019,TR7235
RE7210,2,Received damaged item,Pending,23/7/2020,TR8731
RE7211,8,Received wrong size,Waiting for Approval,23/11/2019,
RE7212,4,Poor quality material,On Hold,16/11/2023,TR6704
RE7213,1,Item arrived late,Approved,23/9/2020,
RE7214,1,Item didn't meet expectations,Approved,6/10/2019,
RE7215,2,Received damaged item,Cancelled,29/10/2021,
RE7216,2,Item not as described,On Hold,24/2/2022,TR4032
RE7217,5,Item didn't match online photos,Approved,25/9/2023,
RE7218,8,Received damaged item,Pending,21/5/2023,TR1319
RE7219,1,Received damaged item,Pending,19/5/2021,TR8497
RE7220,2,Changed mind about purchase,Waiting for Approval,14/12/2022,
RE7221,3,Poor quality material,On Hold,11/1/2019,TR7527
RE7222,1,Received damaged item,Rejected,1/3/2023,
RE7223,1,Received wrong size,Rejected,22/2/2023,
RE7224,8,Received wrong size,Pending,23/3/2022,TR8476
RE7225,3,Item arrived late,Approved,15/10/2019,
RE7226,9,Item didn't fit properly,Completed,20/12/2021,TR3179
RE7227,1,Item arrived late,Rejected,17/11/2020,
RE7228,5,Poor quality material,Approved,11/3/2020,
RE7229,7,Item didn't meet expectations,Completed,2/1/2021,TR8711
RE7230,1,Item arrived late,Rejected,27/2/2020,
RE7231,1,Received damaged item,Completed,27/6/2019,TR8105
RE7232,2,Item not as described,On Hold,5/7/2023,TR2414
RE7233,1,Item not as described,Rejected,12/6/2023,
RE7234,1,Received damaged item,Cancelled,4/2/2022,
RE7235,1,Received wrong size,Waiting for Approval,24/10/2022,
RE7236,3,Poor quality material,Approved,17/7/2019,
RE7237,4,Item didn't meet expectations,Approved,14/10/2019,
RE7238,5,Item didn't fit properly,Rejected,17/11/2023,
RE7239,8,Changed mind about purchase,Rejected,29/1/2023,
RE7240,6,Item didn't match online photos,Pending,29/6/2019,TR6250
RE7241,3,Changed mind about purchase,Waiting for Approval,21/7/2023,
RE7242,8,Item not as described,Completed,4/7/2019,TR5020
RE7243,4,Item didn't fit properly,Waiting for Approval,21/11/2022,
RE7244,1,Wrong color received,Completed,4/11/2023,TR4659
RE7245,2,Item didn't fit properly,Pending,2/1/2023,TR5499
RE7246,1,Item arrived late,Cancelled,14/9/2022,
RE7247,7,Item didn't fit properly,Approved,12/9/2021,
RE7248,2,Poor quality material,Cancelled,12/3/2020,
RE7249,1,Received damaged item,Completed,5/10/2019,TR8931
RE7250,1,Item didn't match online photos,Waiting for Approval,16/2/2022,
RE7251,2,Item didn't meet expectations,Processing,29/12/2021,TR7078
